pair_id,sensor,image_id,image_filename,image_url,latitude,longitude,lines,line_samples,sample_bits,sample_type,scaling_factor,offset,label_url
TC1W2B0_01_05825N045E2257__TC2W2B0_01_05825N045E2257,TC2,TC2W2B0_01_05825N045E2257,TC2W2B0_01_05825N045E2257.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC2W2B0_01_05825N045E2257.img.gz,4.4795,225.686,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC2W2B0_01_05825N045E2257.lbl
TC1W2B0_01_05729S400E3256__TC2W2B0_01_05729S400E3256,TC1,TC1W2B0_01_05729S400E3256,TC1W2B0_01_05729S400E3256.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC1W2B0_01_05729S400E3256.img.gz,-39.9968,325.5985,1440,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC1W2B0_01_05729S400E3256.lbl
TC1W2B0_01_05729S400E3256__TC2W2B0_01_05729S400E3256,TC2,TC2W2B0_01_05729S400E3256,TC2W2B0_01_05729S400E3256.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC2W2B0_01_05729S400E3256.img.gz,-39.9994,325.6051,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC2W2B0_01_05729S400E3256.lbl
TC1W2B0_01_02882N188E1526__TC2W2B0_01_02882N188E1526,TC1,TC1W2B0_01_02882N188E1526,TC1W2B0_01_02882N188E1526.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC1W2B0_01_02882N188E1526.img.gz,18.7884,152.6496,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC1W2B0_01_02882N188E1526.lbl
TC1W2B0_01_02882N188E1526__TC2W2B0_01_02882N188E1526,TC2,TC2W2B0_01_02882N188E1526,TC2W2B0_01_02882N188E1526.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC2W2B0_01_02882N188E1526.img.gz,18.7928,152.6447,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC2W2B0_01_02882N188E1526.lbl
TC1W2B0_01_02888N160E1461__TC2W2B0_01_02888N160E1461,TC1,TC1W2B0_01_02888N160E1461,TC1W2B0_01_02888N160E1461.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC1W2B0_01_02888N160E1461.img.gz,16.0313,146.0628,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC1W2B0_01_02888N160E1461.lbl
TC1W2B0_01_02888N160E1461__TC2W2B0_01_02888N160E1461,TC2,TC2W2B0_01_02888N160E1461,TC2W2B0_01_02888N160E1461.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC2W2B0_01_02888N160E1461.img.gz,16.0363,146.0582,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC2W2B0_01_02888N160E1461.lbl
TC1W2B0_01_05829N008E2214__TC2W2B0_01_05829N007E2214,TC1,TC1W2B0_01_05829N008E2214,TC1W2B0_01_05829N008E2214.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090128/data/TC1W2B0_01_05829N008E2214.img.gz,0.7556,221.4173,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090128/data/TC1W2B0_01_05829N008E2214.lbl
TC1W2B0_01_05829N008E2214__TC2W2B0_01_05829N007E2214,TC2,TC2W2B0_01_05829N007E2214,TC2W2B0_01_05829N007E2214.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090128/data/TC2W2B0_01_05829N007E2214.img.gz,0.7498,221.4218,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090128/data/TC2W2B0_01_05829N007E2214.lbl
TC1W2B0_01_05731S400E3236__TC2W2B0_01_05731S400E3236,TC1,TC1W2B0_01_05731S400E3236,TC1W2B0_01_05731S400E3236.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC1W2B0_01_05731S400E3236.img.gz,-39.9866,323.5642,1440,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC1W2B0_01_05731S400E3236.lbl
TC1W2B0_01_05731S400E3236__TC2W2B0_01_05731S400E3236,TC2,TC2W2B0_01_05731S400E3236,TC2W2B0_01_05731S400E3236.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC2W2B0_01_05731S400E3236.img.gz,-39.9942,323.5672,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC2W2B0_01_05731S400E3236.lbl
TC1W2B0_01_05862S094E1866__TC2W2B0_01_05862S094E1866,TC1,TC1W2B0_01_05862S094E1866,TC1W2B0_01_05862S094E1866.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC1W2B0_01_05862S094E1866.img.gz,-9.3927,186.6282,2936,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC1W2B0_01_05862S094E1866.lbl
TC1W2B0_01_05862S094E1866__TC2W2B0_01_05862S094E1866,TC2,TC2W2B0_01_05862S094E1866,TC2W2B0_01_05862S094E1866.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC2W2B0_01_05862S094E1866.img.gz,-9.399,186.6327,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC2W2B0_01_05862S094E1866.lbl
TC1W2B0_01_05651S358E0472__TC2W2B0_01_05651S358E0472,TC1,TC1W2B0_01_05651S358E0472,TC1W2B0_01_05651S358E0472.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090113/data/TC1W2B0_01_05651S358E0472.img.gz,-35.7694,47.1944,3768,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090113/data/TC1W2B0_01_05651S358E0472.lbl
TC1W2B0_01_05651S358E0472__TC2W2B0_01_05651S358E0472,TC2,TC2W2B0_01_05651S358E0472,TC2W2B0_01_05651S358E0472.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090113/data/TC2W2B0_01_05651S358E0472.img.gz,-35.759,47.1949,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090113/data/TC2W2B0_01_05651S358E0472.lbl
TC1W2B0_01_02881N159E1537__TC2W2B0_01_02881N160E1537,TC1,TC1W2B0_01_02881N159E1537,TC1W2B0_01_02881N159E1537.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC1W2B0_01_02881N159E1537.img.gz,15.949,153.7,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC1W2B0_01_02881N159E1537.lbl
TC1W2B0_01_02881N159E1537__TC2W2B0_01_02881N160E1537,TC2,TC2W2B0_01_02881N160E1537,TC2W2B0_01_02881N160E1537.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC2W2B0_01_02881N160E1537.img.gz,15.955,153.695,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC2W2B0_01_02881N160E1537.lbl
TC1W2B0_01_05824N065E2268__TC2W2B0_01_05824N065E2268,TC1,TC1W2B0_01_05824N065E2268,TC1W2B0_01_05824N065E2268.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC1W2B0_01_05824N065E2268.img.gz,6.4676,226.7595,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC1W2B0_01_05824N065E2268.lbl
TC1W2B0_01_05824N065E2268__TC2W2B0_01_05824N065E2268,TC2,TC2W2B0_01_05824N065E2268,TC2W2B0_01_05824N065E2268.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC2W2B0_01_05824N065E2268.img.gz,6.4759,226.7629,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC2W2B0_01_05824N065E2268.lbl
TC1W2B0_01_05800S590E2523__TC2W2B0_01_05800S590E2523,TC1,TC1W2B0_01_05800S590E2523,TC1W2B0_01_05800S590E2523.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090125/data/TC1W2B0_01_05800S590E2523.img.gz,-58.9896,252.3371,2664,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090125/data/TC1W2B0_01_05800S590E2523.lbl
TC1W2B0_01_05800S590E2523__TC2W2B0_01_05800S590E2523,TC2,TC2W2B0_01_05800S590E2523,TC2W2B0_01_05800S590E2523.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090125/data/TC2W2B0_01_05800S590E2523.img.gz,-58.9847,252.3439,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090125/data/TC2W2B0_01_05800S590E2523.lbl
TC1W2B0_01_05830N030E2204__TC2W2B0_01_05830N030E2204,TC1,TC1W2B0_01_05830N030E2204,TC1W2B0_01_05830N030E2204.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090128/data/TC1W2B0_01_05830N030E2204.img.gz,2.969,220.3748,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090128/data/TC1W2B0_01_05830N030E2204.lbl
TC1W2B0_01_05830N030E2204__TC2W2B0_01_05830N030E2204,TC2,TC2W2B0_01_05830N030E2204,TC2W2B0_01_05830N030E2204.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090128/data/TC2W2B0_01_05830N030E2204.img.gz,2.9761,220.3798,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090128/data/TC2W2B0_01_05830N030E2204.lbl
TC1W2B0_01_02889N161E1450__TC2W2B0_01_02889N161E1450,TC1,TC1W2B0_01_02889N161E1450,TC1W2B0_01_02889N161E1450.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC1W2B0_01_02889N161E1450.img.gz,16.0819,144.9702,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC1W2B0_01_02889N161E1450.lbl
TC1W2B0_01_02889N161E1450__TC2W2B0_01_02889N161E1450,TC2,TC2W2B0_01_02889N161E1450,TC2W2B0_01_02889N161E1450.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC2W2B0_01_02889N161E1450.img.gz,16.0897,144.9657,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC2W2B0_01_02889N161E1450.lbl
TC1W2B0_01_05645S343E0534__TC2W2B0_01_05645S343E0534,TC1,TC1W2B0_01_05645S343E0534,TC1W2B0_01_05645S343E0534.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090113/data/TC1W2B0_01_05645S343E0534.img.gz,-34.3475,53.4415,3920,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090113/data/TC1W2B0_01_05645S343E0534.lbl
TC1W2B0_01_05645S343E0534__TC2W2B0_01_05645S343E0534,TC2,TC2W2B0_01_05645S343E0534,TC2W2B0_01_05645S343E0534.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090113/data/TC2W2B0_01_05645S343E0534.img.gz,-34.3352,53.4413,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090113/data/TC2W2B0_01_05645S343E0534.lbl
TC1W2B0_01_05737S400E3175__TC2W2B0_01_05737S400E3175,TC1,TC1W2B0_01_05737S400E3175,TC1W2B0_01_05737S400E3175.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC1W2B0_01_05737S400E3175.img.gz,-39.9857,317.4582,1592,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC1W2B0_01_05737S400E3175.lbl
TC1W2B0_01_05737S400E3175__TC2W2B0_01_05737S400E3175,TC2,TC2W2B0_01_05737S400E3175,TC2W2B0_01_05737S400E3175.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC2W2B0_01_05737S400E3175.img.gz,-39.9975,317.4589,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090120/data/TC2W2B0_01_05737S400E3175.lbl
